body_name,reported_location,source,approx_distance_to_nasirabad,distance_basis,notes
"دولت‌آباد (دیاپیر/توده مانتل)","بخش جنوبی مانتل افیولیت نی‌ریز؛ مقاله ساختاری آن را Dowlatabad diapir با راستای NW–SE معرفی می‌کند.","Sarkarinejad (2005), Structures and microstructures related to steady-state mantle flow in the Neyriz ophiolite, Iran; https://doi.org/10.1016/j.jseaes.2004.08.007","","فاصله تا نصیرآباد در منبع گزارش یا قابل استخراج مستقیم نیست.","برای نام‌گذاری توده و موقعیت نسبی به‌کار رفت؛ هیچ مختصات یا فاصله‌ای استنباط نشده است."
"دولت‌آباد–تنگ‌حنا","بخش شرقی افیولیت نی‌ریز؛ موازی با راندگی زاگرس و بخشی از کمربند رانده‌شده بر لبه قاره عربی.","Attarzadeh et al. (2016), pp.703–720; https://doi.org/10.4236/ojg.2016.68054; Attarzadeh et al. (2017), https://doi.org/10.4236/ojg.2017.73015","","مختصات عددی/فاصله تا نصیرآباد در PDFها یا صفحات ناشر پیدا نشد.","هارزبورژیت، دونیت و پیروکسنیت با کرومیتیت پودیفورم در منبع 2017 گزارش شده‌اند."
"تنگ‌حنا (دیاپیر اصلی)","حدود 7.8 km² در جنوب‌شرق روستای تنگ‌حنا؛ در بخش مانتل افیولیت نی‌ریز.","Nadimi (2002), Mantle flow patterns at the Neyriz Paleo-spreading center, Iran; https://doi.org/10.1016/S0012-821X(02)00856-7","","منبع فقط مساحت دیاپیر و جهت نسبی به روستا می‌دهد؛ فاصله تا نصیرآباد نمی‌دهد.","این مدخل با دولت‌آباد–تنگ‌حنا هم‌پوشانی مکانی احتمالی دارد؛ به‌دلیل تفاوت نام‌گذاری ساختاری و ناحیه‌ای جدا ثبت شد."
"کشوری (دیاپیر/توده مانتل)","بخش شمالی مانتل افیولیت نی‌ریز؛ همراه دیاپیر تنگ‌حنا.","Sarkarinejad (2005), https://doi.org/10.1016/j.jseaes.2004.08.007","","فقط فاصله 14 km میان دو دیاپیر تنگ‌حنا و کشوری گزارش شده، نه تا نصیرآباد.","فاصله 14 km در این فیلد وارد نشده چون مرجع آن نصیرآباد نیست."
"خواجه‌جمالی (مجموعه توده‌های مانتل)","شمال دریاچه طشک و حدود 20 km از راندگی اصلی زاگرس؛ افیولیت‌های مانتل در جنوب‌غرب ایران.","Eslami et al. (2015), PDF p.1 (printed p.91), https://doi.org/10.4454/ofioliti.v40i2.437","","فاصله تا نصیرآباد در منبع گزارش نشده.","شامل توده‌های چشمه‌بید و دیگر قطعات نام‌برده در منابع ثانوی است؛ این منبع مختصات عددی نمی‌دهد."
"چشمه‌بید","در توده‌های افیولیتی خواجه‌جمالی؛ کانسار کرومیتیت نزدیک زون گذار مانتل–پوسته زیرین.","Eslami et al. (2015), PDF pp.1–2 (printed pp.91–92), https://doi.org/10.4454/ofioliti.v40i2.437","","فاصله تا نصیرآباد در منبع گزارش نشده.","سنگ‌های میزبان: هارزبورژیت و دونیت. توده‌های کرومیتیت پودیفورم پر-Cr گزارش شده‌اند."
"دوتویی (Dotooi)","یکی از نواحی/معادن کرومیت مجموعه خواجه‌جمالی، نی‌ریز.","Shahrestani and Alinia (2013), PDF p.2 (printed p.97), https://jtethys.journals.pnu.ac.ir/article_2759.html?lang=en","","فاصله یا مختصات عددی در منبع گزارش نشده.","در مقاله در فهرست معادن کرومیت خواجه‌جمالی آمده؛ مختصات به آن منتسب نشده است."
"انجیرک (Anjirak)","ناحیه کرومیت‌دار در مجموعه خواجه‌جمالی، نی‌ریز.","Shahrestani and Alinia (2013), PDF pp.2, 5 (printed pp.97, 100), https://jtethys.journals.pnu.ac.ir/article_2759.html?lang=en","","فاصله یا مختصات عددی در منبع گزارش نشده.","نمونه‌های کرومیت‌دار از انجیرک در مقاله گزارش شده‌اند؛ نباید مکان دقیق از نقشه بدون ژئورفرنس برداشت شود."
"راجونی (Rajooni)","یکی از نواحی/معادن کرومیت مجموعه خواجه‌جمالی، نی‌ریز.","Shahrestani and Alinia (2013), PDF p.2 (printed p.97), https://jtethys.journals.pnu.ac.ir/article_2759.html?lang=en","","فاصله یا مختصات عددی در منبع گزارش نشده.","فقط نام در فهرست معادن آمده است."
"حسین‌خانی (Hosseinkhani)","یکی از نواحی/معادن کرومیت مجموعه خواجه‌جمالی، نی‌ریز.","Shahrestani and Alinia (2013), PDF p.2 (printed p.97), https://jtethys.journals.pnu.ac.ir/article_2759.html?lang=en","","فاصله یا مختصات عددی در منبع گزارش نشده.","فقط نام در فهرست معادن آمده است."
"آباده‌طشک (چهار توده جدا)","چهار توده جدا در محدوده‌ای به مساحت 125 km² در جنوب ایران؛ مقاله نام/مختصات تک‌تک توده‌ها را در چکیده ناشر نمی‌دهد.","Rajabzadeh and Nazari Dehkordi (2013), https://doi.org/10.1007/s12517-012-0687-2","","125 km² مساحت مجموعه است و مبنای محاسبه فاصله تا نصیرآباد نیست؛ مختصات/فاصله مستقیم گزارش نشده.","نباید با وجود هم‌پوشانی احتمالی، بدون نقشه/مختصات منبع با یک توده خاص خواجه‌جمالی یا چشمه‌بید یکی تلقی شود."
