target_id,commodity,rank,latitude,longitude,model_score,data_confidence_score,model_status,legal_status,interpretation_fa
MN-V3-01,manganese,1,29.167482437246917,54.243207430557696,75,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-02,manganese,2,29.176603412385436,54.24810259397452,70,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-03,manganese,3,29.158572820772733,54.24858380544572,70,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-04,manganese,4,29.176179331723333,54.2275576718212,70,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-05,manganese,5,29.176391765340266,54.23783007773625,70,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-06,manganese,6,29.158255288988137,54.23317775852723,67,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-07,manganese,7,29.1714585861106,54.21740706417085,62,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-08,manganese,8,29.157935988752147,54.217771960112024,53,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-09,manganese,9,29.20226406094454,54.18158111181517,50,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
MN-V3-10,manganese,10,29.202474107267694,54.190867695131494,50,30,SCREENING_ONLY,NOT_VERIFIED,هدف اکتشافی؛ وضعیت حقوقی نامشخص؛ نیازمند کنترل رسمی و میدانی مجاز
