label_id,commodity,name_fa,name_en,latitude_wgs84,longitude_wgs84,coordinate_format_original,precision_class,coordinate_source,source_url,host_rock_reported,deposit_type_reported,status,independent_of_MN001,notes,record_type,deposit_model,independent_group_id,coordinate_accuracy_m,coordinate_accuracy_class,crs_status,model_eligibility,validation_role,quality_reason
MN-09A-001,manganese,آب‌بند,Ab-Band,28.949030,54.401020,"Decimal degrees; longitude, latitude; explicitly WGS84",A,"USGS Mineral Resources Data System (MRDS), Deposit ID 10231011, record field “Geographic coordinates”; point of reference: Ore Body; unpaginated electronic record.",https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231011,"Mainly sedimentary terrane, late Mesozoic (MRDS wording).",Unknown (MRDS primary mode of origin: UNKNOWN; orebody type: UNKNOWN; shape: TABULAR).,اندیس,بله,"MRDS explicitly prints a WGS84 coordinate and identifies the reference as Ore Body, but reports location accuracy of 10,000 m. Class A means the numeric coordinate is printed directly; it does not mean high positional accuracy. Excluded from MN-001; no record identity linking it to Ab Band I or II was established.",occurrence,unknown_manganese,AB_BAND_MRDS,10000,LOW_REPORTED_10KM,WGS84_EXPLICIT,REFERENCE_ONLY,NOT_INDEPENDENT_TEST,MRDS prints WGS84 but reports 10000 m location accuracy; not a precise training point.
MN-09A-002,manganese,کوه خم,Kuh Kham (Kouh Kham),28.883333,54.316667,"Geographic DMS, longitude then latitude; no hemisphere or datum printed",A,"Aganj, Karimi & Khankehdani, “تعیین منشاء کانه‌زایی منگنز کوه خم با استفاده از مطالعات بافتی و کانی‌شناسی”, 4th Conference of the Iranian Economic Geology Association (1391/2012), abstract study-location sentence; unpaginated online conference record.",https://elmnet.ir/article/20313123-49197/%D8%AA%D8%B9%DB%8C%DB%8C%D9%86-%D9%85%D9%86%D8%B4%D8%A7%D8%A1-%DA%A9%D8%A7%D9%86%D9%87-%D8%B2%D8%A7%DB%8C%DB%8C-%D9%85%D9%86%DA%AF%D9%86%D8%B2-%DA%A9%D9%88%D9%87-%D8%AE%D9%85-%D8%A8%D8%A7-%D8%A7%D8%B3%D8%AA%D9%81%D8%A7%D8%AF%D9%87-%D8%A7%D8%B2-%D9%85%D8%B7%D8%A7%D9%84%D8%B9%D8%A7%D8%AA-%D8%A8%D8%A7%D9%81%D8%AA%DB%8C-%D9%88-%DA%A9%D8%A7%D9%86%DB%8C-%D8%B4%DB%8C%D9%85%DB%8C,"Radiolaritic cherts interlayered with the mineralization, associated with the Neyriz ophiolite sequence.","Probable hydrothermal origin; radiolarite-replacement textures are interpreted as diagenetic, with late epigenetic open-space filling reported.",نامعلوم,بله,The source prints longitude 54°19′ and latitude 28°53′ and states the locality is 60 km from Estahban. Decimal display is direct DMS arithmetic (54+19/60; 28+53/60); source does not state hemispheres or datum. N/E orientation follows the stated Iranian locality. WGS84 compatibility is therefore approximate and datum is unverified; no projected-coordinate transformation was applied.,occurrence,radiolarite_associated_manganese,KUH_KHAM_STUDY,,UNKNOWN_DATUM_APPROXIMATE,UNVERIFIED,REFERENCE_ONLY,NOT_INDEPENDENT_TEST,DMS locality coordinate; datum and point accuracy are not stated.
CR-09A-001,chromite,معدن کرومیت خواجه‌جمالی,Khajeh-Jamali chromite mine,29.812778,53.864900,Geographic DMS (N/E); datum not stated in the type-locality label,A,"Khosravi & Poormahdi, “Polygonum khajeh-jamali (Polygonaceae), a new species from Iran”, Annales Botanici Fennici 45(6) (2008), p. 477, type-locality label (“Khajeh-Jamali, chromite mine”); verified in the digitized treatment citing that page.",https://doi.org/10.5735/085.045.0606,Dunite and harzburgite reported for Khajeh-e-Jamali chromite mines by Moghtaderi et al. (2003); this lithology is not part of the botanical type label.,"Alpine-type chromite deposit, as reported for Khajeh-e-Jamali deposits by Moghtaderi et al. (2003).",نامعلوم,بله,"The source prints 29°48′46″N, 53°51′53.64″E specifically for “Khajeh-Jamali, chromite mine”. Decimal values are direct DMS arithmetic; datum is unstated and no datum transformation is claimed. Mine operating status is not reported. Host-rock and deposit-type descriptions come from a separate Khajeh-Jamali chromite study and are distinguished from the coordinate source.",occurrence,podiform_chromite,KHAJEH_JAMALI_LOCALITY,,UNKNOWN_DATUM_APPROXIMATE,UNVERIFIED,REFERENCE_ONLY,NOT_INDEPENDENT_TEST,Mine locality is named in a type-locality source; datum and operating status are not stated.
IR-09A-001,iron,قطرویه، نمونه H1 (سنگ‌آهن هماتیتی),Qatruyeh H1 (hematite ore sample),29.2795278,54.5891944,"DMS as printed in Table 1 Easting/Northing columns: 54°35′21.1″, 29°16′46.3″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number H1.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as hematite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-002,iron,قطرویه، نمونه H2 (سنگ‌آهن هماتیتی),Qatruyeh H2 (hematite ore sample),29.2509444,54.5843889,"DMS as printed in Table 1 Easting/Northing columns: 54°35′03.8″, 29°15′03.4″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number H2.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as hematite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-003,iron,قطرویه، نمونه H3 (سنگ‌آهن هماتیتی),Qatruyeh H3 (hematite ore sample),29.2371111,54.6757500,"DMS as printed in Table 1 Easting/Northing columns: 54°40′32.7″, 29°14′13.6″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number H3.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as hematite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-004,iron,قطرویه، نمونه MM1 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM1 (massive magnetite ore sample),29.2583333,54.6055556,"DMS as printed in Table 1 Easting/Northing columns: 54°36′20.0″, 29°15′30.0″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM1.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-005,iron,قطرویه، نمونه MM2 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM2 (massive magnetite ore sample),29.2706667,54.5991111,"DMS as printed in Table 1 Easting/Northing columns: 54°35′56.8″, 29°16′14.4″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM2.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-006,iron,قطرویه، نمونه MM3 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM3 (massive magnetite ore sample),29.2597500,54.6111944,"DMS as printed in Table 1 Easting/Northing columns: 54°36′40.3″, 29°15′35.1″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM3.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
IR-09A-007,iron,قطرویه، نمونه MM4 (سنگ‌آهن مگنتیتی توده‌ای),Qatruyeh MM4 (massive magnetite ore sample),29.2600556,54.6000000,"DMS as printed in Table 1 Easting/Northing columns: 54°36′00.0″, 29°15′36.2″; no CRS/datum stated",A,"Asadi & Rajabzadeh (2014), “Geochemistry, Paragenesis, and Wall-Rock Alteration of the Qatruyeh Iron Deposits, Southwest of Iran: Implications for a Hydrothermal-Metasomatic Genetic Model”, Journal of Geological Research, Table 1 (Sample / Field number / Easting / Northing; electronic article, table under Methods; no CRS/datum stated). Ore sample field number MM4.",https://doi.org/10.1155/2014/590540,Dolomitic marble is reported as the associated host rock of the Qatruyeh iron ore bodies; sample host at each point is not separately specified in Table 1.,Hydrothermal-metasomatic Qatruyeh iron deposits; Table 1 classifies this sample as massive magnetite ore.,نامعلوم,بله,"Direct conversion of the printed DMS values to decimal degrees; Table 1 does not identify datum or CRS, and labels the columns Easting/Northing despite degree notation. Longitude/latitude order is interpreted from the numeric values and the stated Qatruyeh location; WGS84 datum is not verified. The 2014 article states no exploitation activities at that time; current operating status is unknown. This is an ore-sample location within one Qatruyeh study area, not a separate independent deposit or validation label.",sample,qatruyeh_hydrothermal_metasomatic_iron,QATRUYEH_2014_STUDY,,UNKNOWN_DATUM_SAMPLE_COORDINATE,UNVERIFIED,REFERENCE_ONLY,CLUSTERED_NOT_INDEPENDENT,Ore-sample location from one study; not an independent deposit or validation label.
