title,authors,year,journal_or_publisher,doi_or_url,access_status,reported_coordinates,coordinate_page_or_table,mineralization_type,host_rock,tonnage_or_grade,grade_type_note,relevance_to_aoi,source_quality,notes
"First report on platinum-group minerals in chromitites from northwestern Neyriz ophiolite, Iran",F. Moore; M. A. Rajab Zadeh,1993,"Journal of Sciences, Islamic Republic of Iran, 4(1), 47–54",https://journal.ut.ac.ir/article_31159_22f958c7f3d9397d3e0c5208bd9cd982.pdf,آزاد؛ PDF واقعاً دانلود شد,مختصات عددی گزارش نشده؛ چشمه‌بید و خواجه‌جمالی در شمال‌غرب افیولیت نی‌ریز توصیف شده‌اند.,"PDF p.1 (printed p.47), Fig. 1 ارجاع شده؛ مختصات عددی پیدا نشد.",کرومیتیت پودیفورم حاوی کانی‌های گروه پلاتین (PGM),هارزبورژیت؛ با دونیت و پیروکسنیت در توالی افیولیتی,گزارش نشده,فقط شناسایی PGMهای 4 تا 20 میکرومتری است؛ عیار/ذخیره گزارش نشده.,بالا — منبع مستقیم برای چشمه‌بید و خواجه‌جمالی.,داوری‌شده؛ مقاله اصلی و PDF ناشر دانشگاه تهران,PDF هشت‌صفحه‌ای در pdfs موجود است. نزدیک‌ترین شهرِ گزارش‌شده ارسنجان است، نه نصیرآباد؛ بنابراین فاصله تا نصیرآباد قابل استخراج نیست.
"Chrome and platinum-group element mineralization within the Assemion and Neyriz ophiolites, Zagros belt, Iran",Mohammad Ali Rajabzadeh,1998,"Institut National Polytechnique de Lorraine, PhD thesis",https://hal.science/tel-01750888/,آزاد در HAL؛ رکورد و پیوند PDF آزاد تأیید شد، اما PDF در این محیط واقعاً دانلود نشد,مختصات عددی در رکورد آزاد گزارش نشده.,رکورد HAL بدون صفحه‌بندی متن؛ PDF آزاد 54.56 MB در رکورد معرفی شده است.,کرومیتیت و کانه‌زایی عناصر گروه پلاتین,هارزبورژیت همگن؛ زون گذار با دونیت و پیروکسنیت,گزارش نشده در رکورد بازیابی‌شده,رکورد HAL می‌گوید عیار کروم با گذار از هارزبورژیت همگن به زون گذار افزایش می‌یابد؛ عدد عیار در رکورد نیست.,بالا — رساله اختصاصی افیولیت نی‌ریز و کروم/PGE.,رساله دکتری؛ مخزن علمی HAL,به‌دلیل عدم دانلود واقعی PDF، در pdfs قرار نگرفت؛ فقط مشخصات/لینک ثبت شده است.
"Mantle flow patterns at the Neyriz Paleo-spreading center, Iran",Alireza Nadimi,2002,"Earth and Planetary Science Letters, 203(1), 93–104",https://doi.org/10.1016/S0012-821X(02)00856-7,پولی/چکیده ناشر,مختصات عددی در متن بازیابی‌شده گزارش نشده؛ رخنمون افیولیت حدود 22 × 18.5 km توصیف شده و دیاپیر اصلی جنوب‌شرق روستای تنگ‌حنا گزارش شده است.,بخش‌های ناشر «The Neyriz ophiolite» و «Structural maps»؛ صفحه دقیق متن کامل در دسترس نبود.,اندیس‌های کرومیتی پودیفورم در چارچوب مانتل–زون گذار (ذکر زمینه‌ای),پریدوتیت/هارزبورژیت؛ زون گذار حاوی دونیت خالص و دیگر کومولات‌ها,گزارش نشده,عیار یا تناژ کرومیت گزارش نشده در چکیده/گزیده قابل دسترس.,بالا — شواهد ساختاری برای جنوب‌شرق تنگ‌حنا و مرز مانتل–پوسته.,داوری‌شده؛ صفحه ناشر و چکیده,بدون مختصات منبع، فاصله تا نصیرآباد ثبت نشد.
"Structures and microstructures related to steady-state mantle flow in the Neyriz ophiolite, Iran",Khalil Sarkarinejad,2005,"Journal of Asian Earth Sciences, 25(6), 859–881",https://doi.org/10.1016/j.jseaes.2004.08.007,پولی/چکیده ناشر,مختصات عددی گزارش نشده؛ دیاپیرهای تنگ‌حنا و کشوری در بخش شمالی مانتل و دیاپیر دولت‌آباد در بخش جنوبی گزارش شده‌اند.,نتیجه‌گیری صفحه ناشر؛ صفحه متن کامل در دسترس نبود.,موضوع اصلی ساختار مانتل؛ کرومیتیت به‌صورت موضوع اصلی گزارش نشده,هارزبورژیت مانتل و بخش‌های ماگمایی/گابروی,گزارش نشده,عیار یا تناژ کرومیت گزارش نشده.,بالا — برای تفکیک توده/دیاپیر دولت‌آباد (جنوبی) و تنگ‌حنا–کشوری.,داوری‌شده؛ صفحه ناشر و چکیده,مسافت 14 km فقط فاصله دو دیاپیر تنگ‌حنا و کشوری است، نه فاصله تا نصیرآباد؛ در فایل توده‌ها وارد نشده است.
Investigation of flora types in Khajeh-jamali ophiolites area of Neyriz – Iran for exploration of chromite by biogeochemical method,S. H. Ghetmiri; S. M. A. Aleyasin,2016,"Scientific Quarterly Journal of Geosciences, 25(98), 19–28",https://doi.org/10.22071/gsj.2016.41133,آزاد؛ PDF واقعاً دانلود شد,مختصات عددی گزارش نشده؛ منطقه خواجه‌جمالی در زون راندگی زاگرس و مجموعه افیولیتی نی‌ریز توصیف شده است.,چکیده و صفحه فراداده ناشر؛ مختصات عددی پیدا نشد.,پژوهش بیوژئوشیمیایی برای اکتشاف کرومیت,هارزبورژیت و دونیت با کرومیت به‌عنوان کانی اصلی (طبق چکیده ناشر),گزارش نشده,مقاله درباره ضرایب جذب زیستی گیاهان است و عیار/ذخیره کرومیت گزارش نمی‌کند.,متوسط — پوشش خواجه‌جمالی/نی‌ریز دارد، اما بدون مختصات و خارج از تمرکز دولت‌آباد–تنگ‌حنا.,داوری‌شده؛ وبگاه رسمی نشریه,PDF 11 صفحه‌ای واقعاً دانلود شد؛ متن PDF اسکن‌شده و فاقد لایه متن قابل جست‌وجو در این محیط است.
"Study of chromite-hosting peridotites from Neyriz ophiolite, Abadeh Tashk area, Fars province by using mineralogical data",Mohammad Ali Rajabzadeh; Teymour Nazari Dehkordi,2011,"Advanced Applied Geology, 1(2), 22–33",https://aag.scu.ac.ir/article_11551_en.html?lang=en,آزادِ صفحه مقاله/فقط چکیده؛ PDF واقعی از پیوند موجود در این محیط دریافت نشد,مختصات عددی گزارش نشده؛ ناحیه آباده‌طشک ذکر شده است.,صفحه مقاله و چکیده؛ pp.22–33، نقشه/جدول مختصات بازیابی نشد.,کرومیت در پریدوتیت‌های افیولیتی,لرزولیت، هارزبورژیت و دونیت,گزارش نشده,داده‌های Cr# و Mg# اسپینل‌اند، نه عیار ذخیره.,متوسط — زمینه مستقیم آباده‌طشک/توده‌های خواجه‌جمالی–چشمه‌بید، اما فاصله تا نصیرآباد گزارش نشده.,داوری‌شده؛ وبگاه مجله,نسخه PDF بازگشتی HTML بود و مطابق قاعده در pdfs ذخیره نشد.
"Investigation on mantle peridotites from Neyriz ophiolite, south of Iran: geodynamic signals",Mohammad Ali Rajabzadeh; Teimoor Nazari Dehkordi,2013,"Arabian Journal of Geosciences, 6, 4445–4461",https://doi.org/10.1007/s12517-012-0687-2,پولی/چکیده ناشر,مختصات عددی گزارش نشده؛ چهار توده جدا در ناحیه آباده‌طشک با مساحت 125 km² گزارش شده‌اند.,چکیده ناشر؛ pp.4445–4461، صفحه دقیق متن کامل در دسترس نبود.,کرومیتیت پر-Cr–Mg و کم-Ti در بحث مقاله,هارزبورژیت، دونیت و لرزولیت کم-کلینوپیروکسن,گزارش نشده,مقادیر اکسید/شیمی سنگ و اسپینل‌اند؛ عیار/تناژ ذخیره گزارش نشده.,متوسط — تعریف چهار توده آباده‌طشک؛ بدون مختصات یا پیوند قابل‌اثبات به AOI نصیرآباد.,داوری‌شده؛ صفحه ناشر,ناشر دسترسی اشتراکی/خرید را اعلام کرده است.
"Mineralogy, geochemistry and geotectonic significance of mantle peridotites with high-Cr chromitites in the Neyriz ophiolite from the outer Zagros ophiolite belts, Iran",Mohammad Ali Rajabzadeh; Teimoor Nazari Dehkordi; Şemsettin Caran,2013,"Journal of African Earth Sciences, 78, 1–15",https://doi.org/10.1016/j.jafrearsci.2012.09.013,پولی/چکیده ناشر,مختصات عددی گزارش نشده؛ چهار توده جدا در آباده‌طشک، با گستره 125 km²، گزارش شده‌اند.,چکیده ناشر؛ pp.1–15، صفحه دقیق متن کامل در دسترس نبود.,پادهای کرومیتیت پر-Cr,هارزبورژیت و دونیت غالب؛ سنگ‌های مافیک/گابروی نادر,گزارش نشده,Cr# و Mg# اسپینل و W سنگ‌های مانتل گزارش شده‌اند؛ نه عیار/ذخیره.,متوسط — منبع مستقیم کرومیتیت آباده‌طشک؛ موقعیت نصیرآباد در منبع نیامده است.,داوری‌شده؛ صفحه ناشر,مقاله بر تغییرات ژئوشیمی میان افیولیت نی‌ریز و نائین تمرکز دارد.
"Mineralogy and distribution of platinum-group minerals (PGM) and other solid inclusions in the Neyriz ophiolitic chromitites, Southern Iran",Mohammad Ali Rajabzadeh; Zohreh Moosavinasab,2012,"The Canadian Mineralogist, 50(3), 643–665",https://doi.org/10.3749/canmin.50.3.643,پولی/چکیده ناشر,مختصات عددی گزارش نشده؛ نمایشگر مکانی ناشر فقط یک پنجره نقشه‌ای ارائه می‌کند و مختصات منبع مقاله نیست.,چکیده ناشر؛ pp.643–665، صفحه دقیق متن کامل در دسترس نبود.,کرومیتیت پودیفورم پر-Cr با PGM,هارزبورژیت تهی‌شده مانتل بالا و دونیت کومولاتی,گزارش نشده,Cr#=59–83، Mg#=58–72 و TiO2≤0.36 wt.% ویژگی شیمی کانی است، نه عیار ذخیره.,بالا — پژوهش مستقیم کرومیتیت‌های افیولیت نی‌ریز.,داوری‌شده؛ صفحه ناشر,چکیده می‌گوید PGMها غالباً کمتر از 25 μm هستند؛ PDF آزاد پیدا نشد.
"Integration of ASTER and Landsat TM remote sensing data for chromite prospecting and lithological mapping in Neyriz ophiolite zone, south Iran",Alireza Eslami; Majid Ghaderi; Sankaran Rajendran; Amin Beiranvand Pour; Mazlan Hashim,2015,"Resource Geology, 65(4), 375–388",https://doi.org/10.1111/rge.12076,پولی/چکیده ناشر,مختصات عددی در چکیده بازیابی‌شده گزارش نشده؛ شکل‌ها/مناطق بالقوه بدون استخراج مختصات دقیق‌اند.,چکیده ناشر؛ pp.375–388؛ نقشه‌های متن کامل برای مختصات در دسترس نبود.,هدف‌گذاری اکتشافی کرومیت پودیفورم/مناطق بالقوه,زون گذار و هارزبورژیت مانتل,گزارش نشده,مقاله اکتشافی است و عیار/تناژ ذخیره گزارش نمی‌کند.,بالا — زون گذار و هارزبورژیت را اهداف بالقوه کرومیت در افیولیت نی‌ریز معرفی می‌کند.,داوری‌شده؛ صفحه ناشر,نباید از محصولات دورسنجیِ مقاله مختصات اندیس برداشت شود، زیرا متن کامل نقشه برای ژئورفرنس در دسترس نبود.
